date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:59	8164/8164	---M--	200	added ('OK')	image/jpeg	etag:%2215a6ce972285d442066bf51a0ebbc037%22	https://assets.satumomen.com/images/no-image.jpg	D:/DATA%20D/HAE/Undangan/Nginvite-v2/assets.satumomen.com/images/no-image.jpg	(from https://satumomen.com/preview/vintage-peacock)
21:46:59	159497/159497	---M--	200	added ('OK')	image/jpeg	etag:%22a534e590856b9edbce33c173b80c8236%22	https://assets.satumomen.com/images/galleries/23358-gallery-1666958913.jpg	D:/DATA%20D/HAE/Undangan/Nginvite-v2/assets.satumomen.com/images/galleries/23358-gallery-1666958913.jpg	(from https://satumomen.com/preview/vintage-peacock)
21:46:59	4714/4714	---M--	200	added ('OK')	image/png	etag:%2264739ad7-126a%22	https://satumomen.com/images/btn_app_store.png	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/images/btn_app_store.png	(from https://satumomen.com/preview/vintage-peacock)
21:46:59	111199/111199	---M--	200	added ('OK')	image/jpeg	etag:%22a89935bacf22d1d8ecbe5551a594c204%22	https://assets.satumomen.com/images/galleries/23358-gallery-1666958993.jpg	D:/DATA%20D/HAE/Undangan/Nginvite-v2/assets.satumomen.com/images/galleries/23358-gallery-1666958993.jpg	(from https://satumomen.com/preview/vintage-peacock)
21:47:00	14027/14027	---M--	200	added ('OK')	image/png	etag:%2264739ad7-36cb%22	https://satumomen.com/images/btn_play_store.png	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/images/btn_play_store.png	(from https://satumomen.com/preview/vintage-peacock)
21:47:00	375229/375229	---MCZ	200	added ('OK')	application/javascript	etag:W/%226559fd09-5b9bd%22	https://satumomen.com/js/app.js?v=191123	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/js/appda7b.js	(from https://satumomen.com/preview/vintage-peacock)
21:47:00	29803/29803	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264aaefdb-746b%22	https://satumomen.com/plugins/splide@4.1.4/splide.min.js	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/plugins/splide@4.1.4/splide.min.js	(from https://satumomen.com/preview/vintage-peacock)
21:47:01	6190/6190	---MCZ	200	added ('OK')	application/javascript	etag:W/%22653a59d4-182e%22	https://satumomen.com/themes/themev2.js?v=191123	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/themes/themev2da7b.js	(from https://satumomen.com/preview/vintage-peacock)
21:47:01	90960/90960	---M--	200	added ('OK')	font/woff2	etag:%2216350-3DQWA39jYJq01SDhKokhvCKu0pw%22	https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/Phosphor-Fill.woff2	D:/DATA%20D/HAE/Undangan/Nginvite-v2/unpkg.com/@phosphor-icons/web@2.0.3/src/fill/Phosphor-Fill.woff2	(from https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css)
21:47:02	302624/302624	---M--	200	added ('OK')	font/woff	etag:%2249e20-0urC/lf3psY4aYvfWH68CImEwbY%22	https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/Phosphor-Fill.woff	D:/DATA%20D/HAE/Undangan/Nginvite-v2/unpkg.com/@phosphor-icons/web@2.0.3/src/fill/Phosphor-Fill.woff	(from https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css)
